meshid,side effect UMLS_id
C012255,C0000731
C012255,C0001807
C012255,C0002622
C012255,C0002871
C012255,C0003123
C012255,C0232462
C012255,C0003467
C012255,C0004093
C012255,C0004096
C012255,C0004134
C012255,C0004930
C012255,C0233514
C012255,C0004936
C012255,C0006277
C012255,C0009450
C012255,C0009676
C012255,C1443060
C012255,C0009806
C012255,C0010200
C012255,C0011124
C012255,C0855242
C012255,C0011168
C012255,C0011206
C012255,C0011253
C012255,C0011570
C012255,C0011991
C012255,C0012569
C012255,C0012833
C012255,C0013132
C012255,C0013144
C012255,C2830004
C012255,C0013362
C012255,C0029408
C012255,C0014457
C012255,C0014518
C012255,C0015230
C012255,C0011603
C012255,C0015397
C012255,C0015672
C012255,C0015967
C012255,C0017178
C012255,C0018524
C012255,C0018681
C012255,C0018939
C012255,C0020039
C012255,C0020649
C012255,C0022107
C012255,C0023380
C012255,C0023530
C012255,C0027497
C012255,C0027765
C012255,C0027769
C012255,C0233494
C012255,C0028084
C012255,C0028738
C012255,C0032285
C012255,C0033774
C012255,C0033975
C012255,C0035229
C012255,C1145670
C012255,C0037763
C012255,C0038325
C012255,C0014742
C012255,C0038990
C012255,C0020458
C012255,C0040034
C012255,C0040822
C012255,C0041912
C012255,C0042029
C012255,C0042109
C012255,C0042790
C012255,C3665347
C012255,C0042963
C012255,C0043094
C012255,C0043352
C012255,C0085631
C012255,C0085632
C012255,C0233471
C012255,C0087169
C012255,C0152128
C012255,C0151766
C012255,C0151786
C012255,C0162429
C012255,C0178298
C012255,C0037274
C012255,C0221100
C012255,C0231528
C012255,C0948594
C012255,C0232461
C012255,C0233407
C012255,C0233795
C012255,C0234373
C012255,C0234518
C012255,C0235063
C012255,C0855775
C012255,C0235146
C012255,C0235996
C012255,C0278079
C012255,C1510472
C012255,C0344232
C012255,C0427008
C012255,C0948525
C012255,C0427108
C012255,C0575090
C012255,C0439857
C012255,C0851341
C012255,C1384353
C012255,C0917801
C012255,C1760428
C012255,C1971624
C012255,C2981158
C030852,C0000737
C030852,C0687713
C030852,C0001418
C030852,C0001824
C030852,C0002170
C030852,C0002792
C030852,C0002871
C030852,C0002874
C030852,C0002962
C030852,C0002994
C030852,C0003123
C030852,C0232462
C030852,C0003811
C030852,C0003862
C030852,C0948594
C030852,C0004093
C030852,C0004604
C030852,C0004623
C030852,C0005758
C030852,C0085932
C030852,C0006266
C030852,C0008031
C030852,C0009450
C030852,C0009782
C030852,C0009806
C030852,C0010200
C030852,C0011168
C030852,C0011603
C030852,C0011991
C030852,C0012797
C030852,C0032617
C030852,C0012833
C030852,C0013404
C030852,C0013922
C030852,C0014130
C030852,C0014868
C030852,C0015230
C030852,C0015376
C030852,C0015672
C030852,C0015967
C030852,C0016382
C030852,C0017178
C030852,C0018681
C030852,C0018799
C030852,C0018801
C030852,C0020453
C030852,C0020517
C030852,C0020538
C030852,C0020580
C030852,C0020625
C030852,C0020649
C030852,C0021053
C030852,C0021141
C030852,C0021843
C030852,C0023380
C030852,C0023530
C030852,C0024115
C030852,C0025061
C030852,C0027051
C030852,C0948089
C030852,C0027497
C030852,C0027540
C030852,C0027765
C030852,C0027947
C030852,C0028643
C030852,C0278134
C030852,C0030193
C030852,C0030252
C030852,C0030305
C030852,C0030446
C030852,C0030552
C030852,C0030554
C030852,C0031117
C030852,C0031542
C030852,C0032285
C030852,C0033774
C030852,C0034063
C030852,C0034065
C030852,C0035243
C030852,C0036690
C030852,C0243026
C030852,C0037274
C030852,C0038362
C030852,C0038454
C030852,C0039231
C030852,C0040034
C030852,C0040046
C030852,C0040053
C030852,C0041834
C030852,C0042109
C030852,C0042373
C030852,C0042401
C030852,C1142412
C030852,C0042571
C030852,C0042594
C030852,C0042963
C030852,C0043096
C030852,C0085692
C030852,C0149871
C030852,C0149925
C030852,C0151578
C030852,C0235431
C030852,C0151735
C030852,C0151744
C030852,C0151773
C030852,C0030312
C030852,C0151786
C030852,C0151799
C030852,C0237849
C030852,C0151828
C030852,C0151888
C030852,C0151904
C030852,C0162429
C030852,C0178298
C030852,C0184567
C030852,C0231218
C030852,C0234215
C030852,C1443060
C030852,C2047937
C030852,C0231528
C030852,C0234230
C030852,C0234238
C030852,C0235032
C030852,C0235280
C030852,C0236000
C030852,C0259749
C030852,C0267792
C030852,C0277925
C030852,C0311468
C030852,C0333355
C030852,C0342579
C030852,C0438717
C030852,C0497364
C030852,C0521505
