drug_id,disease_id
C012255,D001008
C012255,D001259
C012255,D003251
C012255,D004830
C012255,D006029
C012255,D006970
C012255,D007037
C012255,D009207
C012255,D010291
C012255,D011507
C012255,D012640
C012255,D013262
C012255,D013375
C012255,D017674
C012255,D019954
C012255,D020301
C030852,D000230
C030852,D000380
C030852,D000505
C030852,D000740
C030852,D000787
C030852,D000855
C030852,D001247
C030852,D001281
C030852,D001282
C030852,D001342
C030852,D001943
C030852,D002277
C030852,D002289
C030852,D002294
C030852,D002318
C030852,D002493
C030852,D003248
C030852,D003872
C030852,D003967
C030852,D004487
C030852,D004890
C030852,D005221
C030852,D005334
C030852,D005767
C030852,D006258
C030852,D006312
C030852,D006319
C030852,D006331
C030852,D006333
C030852,D006402
C030852,D006973
C030852,D007010
C030852,D007177
C030852,D007674
C030852,D007970
C030852,D008113
C030852,D008171
C030852,D008175
C030852,D008545
C030852,D008654
C030852,D009135
C030852,D009203
C030852,D009325
C030852,D009362
C030852,D009369
C030852,D009422
C030852,D009437
C030852,D009503
C030852,D010051
C030852,D010146
C030852,D010190
C030852,D010198
C030852,D010292
C030852,D010523
C030852,D010689
C030852,D011115
C030852,D011471
C030852,D011655
C030852,D013118
C030852,D013280
C030852,D013921
C030852,D013923
C030852,D014012
C030852,D014652
C030852,D014839
C030852,D015433
C030852,D017093
C030852,D017202
C030852,D018805
C030852,D020246
C030852,D020258
C030852,D052016
C030852,D064420
C043211,D000419
C043211,D000787
C043211,D001145
C043211,D001281
C043211,D001282
C043211,D001342
C043211,D001919
C043211,D002311
C043211,D002312
C043211,D003072
C043211,D003704
C043211,D003875
C043211,D003925
C043211,D004195
C043211,D004244
C043211,D004719
C043211,D005334
C043211,D005910
C043211,D006261
C043211,D006323
C043211,D006330
C043211,D006331
C043211,D006332
C043211,D006333
C043211,D006940
C043211,D006973
C043211,D006975
C043211,D006976
C043211,D006977
C043211,D007022
C043211,D007024
C043211,D007249
C043211,D007333
C043211,D007674
C043211,D007676
C043211,D008569
C043211,D009069
C043211,D009202
C043211,D009203
C043211,D009205
C043211,D009336
C043211,D011183
C043211,D011507
C043211,D011537
C043211,D011782
C043211,D012206
C043211,D012893
C043211,D013262
C043211,D013610
C043211,D014693
C043211,D015427
C043211,D015428
C043211,D015431
C043211,D016584
C043211,D016757
C043211,D017180
C043211,D017202
C043211,D017379
C043211,D018366
C043211,D018487
C043211,D018754
C043211,D019970
C043211,D020244
C043211,D020257
C043211,D020521
C043211,D023921
C043211,D051437
C043211,D054058
C043211,D054537
C043211,D056486
C043211,D058186
C043211,D062787
C043211,D064420
C043211,D066126
C044946,D000419
C044946,D000799
C044946,D001281
