drug_id(mesh_id),GenBank Protein ID,GenBank Gene ID
C012255,31631,X13584
C012255,386422,S62907
C012255,386424,S62908
C012255,905393,U30461
C012255,182916,L08485
C012255,1470364,S81944
C012255,31635,X14767
C012255,455946,S67368
C012255,182925,M82919
C012255,2388693,AF016917
C012255,1857126,U66661
C012255,193783776,AK122845
C012255,31637,X15376
C012255,1754749,S82769
C012255,2197001,U95367
C012255,7861736,AF189259
C030852,338695,J00314
C043211,178200,J03019
C043211,433201,D25235
C043211,,M99589
C043211,177807,M76446
C044946,178286,J04144
C045463,555594,M94065
C047781,,
C047781,12642270,AF225985
C047781,4838145,AF117907
C047781,6572950,AF188679
C047781,457879,M94055
C047781,7414320,AJ251507
C047781,338213,M81758
C047781,184039,M77235
C047781,4321647,AF050736
C047781,758110,X82835
C051752,189928,M28269
C051752,36431,S42168
C051752,189258,M65105
C051752,338028,M81778
C051752,36433,X70697
C052035,178286,J04144
C055162,12083902,AF313449
C056507,36065,X59543
C057693,1711117,U79012
C060836,1711117,U79012
C062735,5353887,AF119711
C065180,306865,M11058
C065757,291988,L15326
C067311,11230445,AJ292757
C067311,409875,U01828
C067311,,BN000503
C067311,,BC015149
C076029,36431,S42168
C076029,181432,M30625
C081643,179122,M91464
C084178,179122,M91464
C084178,1711117,U79012
C086232,182276,M74921
C086232,238636,S63938
C086276,306865,M11058
C089730,1711117,U79012
C093230,510296,Z34897
C093875,5353887,AF119711
C103303,30448,X63522
C103303,306887,M24857
C103303,35883,X07282
C103303,35885,X52773
C103303,36157,X06614
C103303,1053069,U38480
C116926,291988,L15326
C121345,510296,Z34897
C419708,757924,X00588
C471405,297050,X69878
C471405,31432,X51602
C471405,35842,X03484
C471405,409573,U02687
C471405,189732,J03278
C471405,2655412,AF035121
C471405,34085,X06182
C471405,41387220,M95712
C471405,31368,X51803
C471405,,X12949
C473478,297050,X69878
C473478,31432,X51602
C473478,409573,U02687
C473478,189732,J03278
C473478,2655412,AF035121
C473478,34085,X06182
C473478,189734,M21574
C473478,553224,M25786
D000068579,291988,L15326
D000068677,3420185,AF043731
D000068718,306865,M11058
D000068756,179122,M91464
D000068877,34085,X06182
D000068877,2795880,AF032124
D000068877,,
D000068900,535388,U13735
D000069059,306865,M11058
D000069347,757924,X00588
D000069347,3511138,AF061056
D000069348,36431,S42168
D000069348,181432,M30625
D000069438,4878022,L21934
D000069438,6643036,AF192522
D000069439,28237,X16416
D000069439,10635153,AL133293
D000069439,181268,M15990
D000069439,181944,M59371
D000069439,36808,X05027
D000069470,189258,M65105
D000069470,36433,X70697
D000070,178200,J03019
D000082,387018,M31822
D000082,291988,L15326
D000086,29600,X05014
D000086,179780,M77181
D000086,179791,M83670
D000086,2984693,AF051882
D000086,189053812,AK313254
D000086,28192445,AY075019
D000086,6009640,AB025904
D000241,256155,S45235
D000241,178150,M97759
D000241,349449,L20463
D000241,177892,M97370
D000493,10336525,D11456
D000547,324265,M23978
D000547,20372905,AJ416950
D000547,181432,M30625
D000584,1004271,X87159
D000584,452650,X76180
D000584,1066457,U38254
D000584,1004273,X87160
D000638,178200,J03019
D000638,29371,Y00106
D000638,178896,M29932
D000638,487738,U04270
D000638,11878259,AF311913
D000638,4104136,AF032897
D000639,36431,S42168
D000639,189258,M65105
D000639,36433,X70697
D000661,292335,L09118
D000661,553260,M96670
D000661,609306,U16826
D000661,14600074,AF380185
D000661,187353,M68840
D000661,398415,S62734
D000661,,
D000677,292830,J04088
D001241,387018,M31822
D001241,291988,L15326
D001623,31680,X03225
D001629,307341,L02932
D001629,1711117,U79012
D001629,190230,L07592
D001712,34451,X52068
D001971,927342,U32499
D001971,181432,M30625
D002034,12003227,AF208159
D002034,903682,U30246
D002034,1373425,U58130
D002034,1399212,U55054
D002047,532060,U11053
D002047,452073,L25119
D002065,189928,M28269
D002065,181432,M30625
D002110,256155,S45235
D002110,178150,M97759
D002110,349449,L20463
D002110,177892,M97370
D002110,,U56976
D002110,347130,L20970
D002110,1145302,U38178
D002110,3420185,AF043731
D002220,12642270,AF225985
D002220,4838145,AF117907
D002220,6572950,AF188679
D002220,457879,M94055
D002220,7414320,AJ251507
D002220,338213,M81758
D002220,184039,M77235
D002220,,
D002220,4321647,AF050736
D002220,758110,X82835
D002437,42468,X02163
D002437,581194,X02164
D002437,,K00137
D002437,42314,X04516
D002437,1850613,U88571
D002443,984233,X16022
D002744,510296,Z34897
D002746,30397,X55760
D002746,189928,M28269
D002746,510296,Z34897
D002746,36431,S42168
D002746,433201,D25235
D002746,,M99589
D002746,181432,M30625
D002747,1374919,L78243
D002927,184088,M64799
D002939,1574722,L42023
D002939,1574370,L42023
D002996,31234,X03635
D002997,475198,X77307
D002997,36431,S42168
D002997,338028,M81778
D002997,36433,X70697
D003000,178196,M23533
D003000,178194,J03853
D003000,178198,M34041
D003022,578119,X13296
D003022,2584866,AF000972
D003024,36431,S42168
D003024,181432,M30625
D003042,189258,M65105
D003042,553260,M96670
D003042,36433,X70697
D003042,12642270,AF225985
D003042,4838145,AF117907
D003042,6572950,AF188679
D003042,457879,M94055
D003042,7414320,AJ251507
D003042,338213,M81758
D003042,184039,M77235
D003042,,
D003042,4321647,AF050736
D003042,758110,X82835
D003042,307415,L10338
D003042,3309111,AF007783
D003042,7160975,AJ243396
D003042,27465047,AY149967
D003078,338695,J00314
D003561,292397,L11607
D003630,292830,J04088
D003630,,X68060
D003891,36431,S42168
D003891,189258,M65105
D003891,36433,X70697
D003907,31680,X03225
D003915,1783387,U75283
D003915,123231939,AL450283
D003915,20372905,AJ416950
D003975,31631,X13584
D003975,386422,S62907
